     t         kpm        kmax       Hmax       ksec       Hsec        Hp         Hm         HHp       HHm        HH0      mu5rms    mu5rms_ts  mu5m_ts      EMag       HMag      xiMag      xiHel
2.70043e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.93592e-04  3.41526e-06  4.43269e-02  5.78094e-02
2.75039e+01  0.00000e+00  1.20000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.76381e-04  3.41544e-06  4.46399e-02  5.82775e-02
2.80046e+01  0.00000e+00  1.20000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.59952e-04  3.41050e-06  4.49632e-02  5.87285e-02
2.85050e+01  0.00000e+00  1.20000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.43871e-04  3.41015e-06  4.52683e-02  5.91823e-02
2.90048e+01  0.00000e+00  1.20000e+01  0.00000e+00  3.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.28501e-04  3.41023e-06  4.55739e-02  5.96302e-02
2.95031e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.13591e-04  3.40837e-06  4.58766e-02  6.00584e-02
3.00037e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.99064e-04  3.40536e-06  4.61859e-02  6.04734e-02
3.05033e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.85226e-04  3.40626e-06  4.64870e-02  6.08990e-02
3.10029e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.71593e-04  3.40570e-06  4.67815e-02  6.13155e-02
3.15043e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.58085e-04  3.40293e-06  4.70880e-02  6.17041e-02
3.20027e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.45376e-04  3.40241e-06  4.73757e-02  6.21164e-02
3.25034e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.32964e-04  3.40023e-06  4.76633e-02  6.24927e-02
